Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,38851.48,7744.82,62500.00,31,0,37,0,25,0,15,0,1,0.6084002245757323,132
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,402295.03,20684.62,247750.00,195,0,148,0,175,0,127,0,11,0.7356140895721331,1032
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,14235794.08,894212.32,1533750.00,2049,0,507,0,3744,0,617,0,45,0.7096419730257147,6216
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,10745.13,3101668.42,10184700.00,850,193,0,427,0,1047,0,645,81,0.8365804025643134,5976
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,3042711.75,1477245.18,11125800.00,1214,0,480,0,1347,0,664,0,80,0.8350535091922314,6204
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,6446.61,3917128.76,11989000.00,1046,218,0,516,0,1298,0,722,84,0.8214891561524413,6372
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,12308.62,3755576.88,13116000.00,932,241,0,495,0,1229,0,689,83,0.7982203577724886,6660
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,19922.86,2583905.82,11310600.00,813,135,0,432,0,920,0,697,83,0.8238348254216044,5460
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,17569.50,4897979.62,13244000.00,499,683,0,511,0,1338,0,664,80,0.7683577408983021,6156
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,20915079.09,0.00,0,2642,0,509,0,3772,0,637,6,2.496224371384044,1668
